source_id,path,filename,format,source_state,parser_profile_id,row_count_detected,size_bytes,checksum_sha256,header_hash_sha256,is_service_template,registered_at,registered_by,notes
src_000016,QuizBank/Civic_Service_Actions_Bank_A2_300.csv,Civic_Service_Actions_Bank_A2_300.csv,CSV,active,csv_quiz_bank_v1,300,202588,419d127f83d1366be3140f5bc8ca62d49c4fad8223c0454b8370be916a4e3eb8,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000017,QuizBank/Communication_Implicit_Paraphrase_Bank_C1_300.csv,Communication_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,289397,82741a315403743b2c498c3264472059f2255b8be5a7a610c930ad7a11f494d0,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000018,QuizBank/Communication_Natural_Usage_Bank_B2_300.csv,Communication_Natural_Usage_Bank_B2_300.csv,CSV,active,csv_quiz_bank_v1,300,272506,4316f9b69c8728f401ba5165ab833cfda7e5e2a1ee8838f1b08d58ba4420e8cf,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000019,QuizBank/Communication_Precision_Mix_Bank_C2_300.csv,Communication_Precision_Mix_Bank_C2_300.csv,CSV,active,csv_quiz_bank_v1,300,262691,33ceb10b1b8aed4f1ae752c0d304957c9e1e3b9bce588617ee9328c7257f204b,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000020,QuizBank/Customer_Service_Actions_Bank_A2_300.csv,Customer_Service_Actions_Bank_A2_300.csv,CSV,active,csv_quiz_bank_v1,300,215960,1f4189ac0f4b3ff54f0b520387bc1e4d64047194e411732595686f2890063960,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000021,QuizBank/Economy_Finance_Workplace_Implicit_Paraphrase_Bank_C1_300.csv,Economy_Finance_Workplace_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,289825,93bfea24d2d17857e3eab75d010ddd99c5953137f0a1aa04f7abcd9b858a64f5,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000022,QuizBank/Economy_Finance_Workplace_Natural_Usage_Bank_B2_300.csv,Economy_Finance_Workplace_Natural_Usage_Bank_B2_300.csv,CSV,active,csv_quiz_bank_v1,300,273558,59988a1f34426855d631b3fc8ea11d0f210e701e9b2786e6c32c38e1e2b80631,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000023,QuizBank/Economy_Finance_Workplace_Precision_Mix_Bank_C2_300.csv,Economy_Finance_Workplace_Precision_Mix_Bank_C2_300.csv,CSV,active,csv_quiz_bank_v1,300,281671,cb473e306ae523731f47b20a4025b1265fa0e8d9afe17cfc1561f08941294596,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000024,QuizBank/Education_Actions_Bank_A2_100.csv,Education_Actions_Bank_A2_100.csv,CSV,active,csv_quiz_bank_v1,100,69026,86e880045f20e271e3baf45ae604ef148ac84e5ed0afeca1a1c30441bf01d2f3,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000025,QuizBank/Education_Implicit_Paraphrase_Bank_C1_300.csv,Education_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,279472,58cb3e7f1feed1e7397905b428489f80b3c876df87ccedd982f310a8449928c0,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000026,QuizBank/Education_Policy_Assessment_Precision_Mix_Bank_C2_300.csv,Education_Policy_Assessment_Precision_Mix_Bank_C2_300.csv,CSV,active,csv_quiz_bank_v1,300,316271,95de9e482e26606d9771cdf35ceb35b5b5a62a1494c83f965d5019fe168727bd,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000027,QuizBank/Environment_Sustainability_Implicit_Paraphrase_Bank_C1_300.csv,Environment_Sustainability_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,286851,9360fbcb5fc0326b1cd35b3c1dd1917f33533259d451a7023ccd7b9db241832b,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000028,QuizBank/Environment_Sustainability_Natural_Usage_Bank_B2_300.csv,Environment_Sustainability_Natural_Usage_Bank_B2_300.csv,CSV,active,csv_quiz_bank_v1,300,270933,5b85584dd85b5794a79704288eb7fec94da7ac192bb63359384e52aa0af059db,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000029,QuizBank/Environment_Sustainability_Precision_Mix_Bank_C2_300.csv,Environment_Sustainability_Precision_Mix_Bank_C2_300.csv,CSV,active,csv_quiz_bank_v1,300,308591,52f48933ebdf3cf24dfcf7425ed60611f3c628240f8b1b4b2389f42a0d168692,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000030,QuizBank/Everyday_Logic_Bank_A1_B1_247.csv,Everyday_Logic_Bank_A1_B1_247.csv,CSV,active,csv_quiz_bank_v1,230,332752,e060cd68f78a96a109fbf4ff27f0c0af1b426df6ed3b669d5f8eee5a946de0af,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000031,QuizBank/Financial_Settings_Bank_A2_100.csv,Financial_Settings_Bank_A2_100.csv,CSV,active,csv_quiz_bank_v1,100,67688,601742ba1ef1e17339b60080c54fcc2b955e0511f529511e9159450ecc47b2d3,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000032,QuizBank/Health_Food_Actions_Bank_A2_100.csv,Health_Food_Actions_Bank_A2_100.csv,CSV,active,csv_quiz_bank_v1,100,63459,4006d738936efaa7050d8b0ed578c963ce7c669f84d3a95f8f7942bb14a15ca9,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000033,QuizBank/Health_Food_Care_Actions_Bank_A2_200.csv,Health_Food_Care_Actions_Bank_A2_200.csv,CSV,active,csv_quiz_bank_v1,200,130769,8973997e750e70692ac70571aeebae18b0b8298c1e3b9e8976f9784e720597ed,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000034,QuizBank/Health_Food_Care_Implicit_Paraphrase_Bank_C1_300.csv,Health_Food_Care_Implicit_Paraphrase_Bank_C1_300.csv,CSV,active,csv_quiz_bank_v1,300,280812,0571a749eceb0c1f9ba0e67eab4ede5d92fc4af2e4237a652266696074e0e9b7,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000035,QuizBank/Health_Food_Care_Natural_Usage_Bank_B2_300.csv,Health_Food_Care_Natural_Usage_Bank_B2_300.csv,CSV,active,csv_quiz_bank_v1,300,256296,e7f7a762478e902ffd60d7b24026e8df1489a211e8ac479dbb0edf09c31a1a52,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000036,QuizBank/Health_Food_Care_Precision_Mix_Bank_C2_300.csv,Health_Food_Care_Precision_Mix_Bank_C2_300.csv,CSV,active,csv_quiz_bank_v1,300,285102,7c99ee0fda78af646f52a97d30e740adc94664d42cd5facc01fbabef7718ad43,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000037,QuizBank/Household_Service_Actions_Bank_A2_100.csv,Household_Service_Actions_Bank_A2_100.csv,CSV,active,csv_quiz_bank_v1,100,68962,d892962c397a28f1c7fc6c59b829e63b6aae8915ae016df701fae59004c0fd7b,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
src_000038,QuizBank/Housing_Actions_Bank_A2_100.csv,Housing_Actions_Bank_A2_100.csv,CSV,active,csv_quiz_bank_v1,100,66479,c8876d859004cd552bb36e2cd23e46a365ec1505adb401b439202674ed045ced,fbdcde2dafcfe468c84ce2ae3b673d19b2b78a766daa9a1c5f460ef24ffde9f5,false,2026-05-07,tooling,
